DATE,SMU12196600500000003
2007-01-01,21.28
2007-02-01,22.25
2007-03-01,22.84
2007-04-01,21.89
2007-05-01,21.85
2007-06-01,21.50
2007-07-01,21.32
2007-08-01,21.58
2007-09-01,23.22
2007-10-01,22.39
2007-11-01,22.75
2007-12-01,22.89
2008-01-01,24.36
2008-02-01,24.85
2008-03-01,25.32
2008-04-01,25.98
2008-05-01,26.11
2008-06-01,25.67
2008-07-01,24.26
2008-08-01,24.30
2008-09-01,23.87
2008-10-01,23.08
2008-11-01,23.32
2008-12-01,23.55
2009-01-01,23.98
2009-02-01,24.14
2009-03-01,23.23
2009-04-01,22.24
2009-05-01,22.48
2009-06-01,22.22
2009-07-01,22.13
2009-08-01,22.10
2009-09-01,20.96
2009-10-01,21.46
2009-11-01,21.60
2009-12-01,21.66
2010-01-01,20.27
2010-02-01,19.57
2010-03-01,19.62
2010-04-01,19.97
2010-05-01,19.35
2010-06-01,19.38
2010-07-01,18.70
2010-08-01,18.62
2010-09-01,19.40
2010-10-01,18.65
2010-11-01,18.98
2010-12-01,19.13
2011-01-01,18.55
2011-02-01,18.07
2011-03-01,18.57
2011-04-01,18.51
2011-05-01,18.44
2011-06-01,18.13
2011-07-01,18.37
2011-08-01,18.19
2011-09-01,18.58
2011-10-01,18.15
2011-11-01,17.82
2011-12-01,17.15
2012-01-01,17.24
2012-02-01,16.94
2012-03-01,16.99
2012-04-01,16.89
2012-05-01,16.48
2012-06-01,16.46
2012-07-01,16.56
2012-08-01,16.46
2012-09-01,16.70
2012-10-01,16.47
2012-11-01,16.60
2012-12-01,16.92
2013-01-01,16.54
2013-02-01,16.63
2013-03-01,16.58
2013-04-01,16.87
2013-05-01,17.03
2013-06-01,17.34
2013-07-01,17.57
2013-08-01,17.46
2013-09-01,17.54
2013-10-01,17.37
2013-11-01,17.14
2013-12-01,17.81
2014-01-01,17.97
2014-02-01,17.80
2014-03-01,17.85
2014-04-01,18.25
2014-05-01,17.95
2014-06-01,17.99
2014-07-01,18.11
2014-08-01,17.89
2014-09-01,17.85
2014-10-01,18.04
2014-11-01,18.42
2014-12-01,18.15
2015-01-01,18.42
2015-02-01,18.45
2015-03-01,18.33
2015-04-01,18.28
2015-05-01,18.58
2015-06-01,18.40
2015-07-01,18.59
2015-08-01,18.90
2015-09-01,18.72
2015-10-01,18.42
2015-11-01,18.79
2015-12-01,18.39
2016-01-01,18.30
2016-02-01,18.60
2016-03-01,18.75
2016-04-01,17.78
2016-05-01,17.85
2016-06-01,18.32
2016-07-01,18.15
2016-08-01,18.55
2016-09-01,18.79
2016-10-01,19.31
2016-11-01,19.28
2016-12-01,19.47
2017-01-01,19.12
2017-02-01,19.43
2017-03-01,19.50
2017-04-01,19.93
2017-05-01,19.75
2017-06-01,19.81
2017-07-01,20.05
2017-08-01,20.10
2017-09-01,20.66
2017-10-01,20.02
2017-11-01,20.23
2017-12-01,20.27
2018-01-01,20.55
2018-02-01,21.10
2018-03-01,21.57
2018-04-01,21.50
2018-05-01,21.46
2018-06-01,21.20
2018-07-01,21.52
2018-08-01,21.83
2018-09-01,21.62
2018-10-01,21.85
2018-11-01,21.68
2018-12-01,22.28
2019-01-01,21.39
